漢字,訓読み
篭,こ（める）
頴,すぐ（れる）
彊,つと（める）
繋,とら（える）
駿,すぐ（れる）
嬰,ふ（れる）
輿,の（せる）
聯,つら（ねる）
鍾,あつ（める）
鞠,とりしら（べる）
濡,ぬ（れる）
鎔,と（ける）
儲,たくわ（える）
儲,もう（ける）
擾,みだ（れる）
曝,さら（ける）
曝,さらば（える）
繫,とら（える）
顚,たお（れる）
顛,たお（れる）
纂,あつ（める）
纏,まと（める）
纒,まと（める）
饗,う（ける）
讃,たす（ける）
讃,たた（える）
讃,ほ（める）
攪,ま（ぜる）
讚,たす（ける）
讚,たた（える）
讚,ほ（める）
內,い（れる）
册,た（てる）
收,おさ（める）
沒,おぼ（れる）
免,まぬか（れる）
免,や（める）
尙,くわ（える）
拔,ぬ（ける）
爭,いさ（める）
屆,とど（ける）
勉,つと（める）
祐,たす（ける）
缺,か（ける）
狹,せば（める）
乘,の（せる）
倂,あわ（せる）
祕,ひ（める）
竝,なら（べる）
陷,おとしい（れる）
敕,いまし（める）
從,したが（える）
敍,の（べる）
淸,きよ（める）
殺,あや（める）
殺,そ（げる）
脫,ぬ（げる）
敎,おし（える）
連,つら（ねる）
連,つ（れる）
晴,は（れる）
勞,つか（れる）
插,す（げる）
割,わ（れる）
虛,うつ（ける）
逸,すぐ（れる）
逸,そ（れる）
逸,はぐ（れる）
揭,かか（げる）
溫,あたた（める）
溫,たず（ねる）
溫,ぬく（める）
傳,つた（える）
碎,くだ（ける）
當,あ（てる）
搖,ゆ（れる）
經,おさ（める）
勤,つと（める）
會,あつ（める）
亂,みだ（れる）
煮,に（える）
與,あた（える）
精,しら（げる）
榮,さか（える）
榮,は（える）
齊,ととの（える）
奬,すす（める）
稱,あ（げる）
稱,たた（える）
稱,とな（える）
寢,や（める）
盡,すが（れる）
對,こた（える）
賣,う（れる）
彈,はじ（ける）
樂,かな（でる）
廣,ひろ（げる）
廣,ひろ（める）
廢,すた（れる）
廢,や（める）
瘦,や（せる）
瘦,こ（ける）
增,ふ（える）
數,かぞ（える）
輸,ま（ける）
遲,おく（れる）
謁,まみ（える）
燒,や（ける）
燒,く（べる）
劑,ま（ぜる）
靜,しず（める）
辨,わきま（える）
辨,わ（ける）
總,す（べる）
襃,ほ（める）
戲,たわむ（れる）
戲,ざ（れる）
戲,たわ（ける）
擧,あ（げる）
檢,あらた（める）
檢,しら（べる）
應,こた（える）
點,た（てる）
點,つ（ける）
縱,ゆる（める）
隱,かく（れる）
斷,さだ（める）
鎭,しず（める）
壘,かさ（ねる）
轉,ころ（げる）
轉,こ（ける）
藝,う（える）
雜,ま（ぜる）
藏,おさ（める）
藏,かく（れる）
擴,ひろ（げる）
辭,や（める）
類,たぐ（える）
癡,し（れる）
贊,たす（ける）
贊,たた（える）
贊,ほ（める）
懷,なつ（ける）
勸,すす（める）
壞,こわ（れる）
壞,やぶ（れる）
譽,ほ（める）
覺,おぼ（える）
覺,さ（める）
獻,ささ（げる）
觸,ふ（れる）
續,つづ（ける）
攝,か（ねる）
驅,か（ける）
疊,かさ（ねる）
