漢字,訓読み
怒,おこ（る）
威,おど（す）
為,す（る）
為,つく（る）
為,な（す）
為,な（る）
致,いた（す）
称,かな（う）
称,はか（る）
眠,ねむ（る）
振,ふ（る）
振,すく（う）
恋,こ（う）
透,す（く）
透,とお（る）
浸,ひた（す）
浸,ひた（る）
浸,つ（く）
倒,たお（す）
扇,あお（ぐ）
軒,と（ぶ）
浮,う（く）
捕,と（る）
被,こうむ（る）
被,おお（う）
被,かぶ（る）
悩,なや（む）
恵,めぐ（む）
般,めぐ（る）
陰,かげ（る）
陰,くも（る）
添,そ（う）
描,えが（く）
描,か（く）
執,と（る）
脱,ぬ（ぐ）
紹,つ（ぐ）
惨,いた（む）
釈,お（く）
釈,と（く）
釈,ゆる（す）
盗,ぬす（む）
盗,と（る）
彩,いろど（る）
掘,ほ（る）
販,あきな（う）
販,ひさ（ぐ）
乾,かわ（く）
乾,ほ（す）
傍,そ（う）
弾,はず（む）
弾,ひ（く）
弾,ただ（す）
弾,はじ（く）
鈍,にぶ（る）
鈍,なま（る）
惑,まど（う）
雄,まさ（る）
普,あまね（く）
絡,から（む）
絡,つな（ぐ）
絡,まと（う）
渡,わた（す）
渡,わた（る）
握,にぎ（る）
煮,に（る）
援,ひ（く）
幾,こいねが（う）
越,こ（す）
畳,たた（む）
距,ふせ（ぐ）
煙,けむ（る）
煙,けぶ（る）
遣,つか（う）
遣,や（る）
搬,はこ（ぶ）
継,つ（ぐ）
誇,ほこ（る）
載,の（る）
載,しる（す）
溶,と（く）
嘆,なげ（く）
詰,つ（む）
詰,なじ（る）
跳,と（ぶ）
跳,おど（る）
違,ちが（う）
違,さ（る）
違,たが（う）
飾,かざ（る）
慎,つつし（む）
傾,かたむ（く）
傾,かし（ぐ）
傾,くつがえ（る）
触,さわ（る）
寝,ね（る）
慢,あなど（る）
慢,おこた（る）
慢,おご（る）
腐,くさ（る）
腐,くさ（す）
隠,かく（す）
駆,か（る）
駆,お（う）
徴,め（す）
維,つな（ぐ）
摘,つ（む）
摘,つま（む）
滴,したた（る）
踊,おど（る）
縁,よ（る）
舗,し（く）
輝,かがや（く）
輝,て（る）
歓,よろこ（ぶ）
監,かんがみ（る）
監,み（る）
黙,だま（る）
黙,もだ（す）
慮,おもんぱか（る）
趣,うなが（す）
趣,おもむ（く）
撃,う（つ）
盤,めぐ（る）
盤,わだかま（る）
敷,し（く）
震,ふる（う）
噴,ふ（く）
噴,は（く）
踏,ふ（む）
舞,ま（う）
舞,もてあそ（ぶ）
賦,わか（つ）
澄,す（む）
謡,うた（う）
繁,しげ（る）
隣,とな（る）
薄,せま（る）
頼,たの（む）
頼,たよ（る）
曇,くも（る）
憶,おも（う）
隷,したが（う）
濁,にご（す）
濁,にご（る）
獲,え（る）
壊,こわ（す）
壊,やぶ（る）
燥,かわ（く）
燥,はしゃ（ぐ）
環,めぐ（る）
瞬,またた（く）
瞬,しばた（く）
瞬,しばたた（く）
瞬,まじろ（ぐ）
瞬,まばた（く）
贈,おく（る）
騒,さわ（ぐ）
騒,ぞめ（く）
離,はな（す）
離,かか（る）
離,か（る）
離,つ（く）
離,なら（ぶ）
鎖,さ（す）
鎖,とざ（す）
闘,たたか（う）
麗,なら（ぶ）
繰,く（る）
響,ひび（く）
露,あらわ（す）
躍,おど（る）
襲,おそ（う）
襲,つ（ぐ）
驚,おどろ（く）
了,さと（る）
了,しま（う）
双,なら（ぶ）
双,ふた（つ）
斥,うかが（う）
巧,たく（む）
伏,ふ（す）
伏,したが（う）
如,し（く）
如,ゆ（く）
企,たくら（む）
伐,う（つ）
伐,き（る）
伐,ほこ（る）
寿,ことほ（ぐ）
伸,の（す）
伸,の（る）
没,しず（む）
没,し（ぬ）
忌,い（む）
抑,ふさ（ぐ）
伴,ともな（う）
励,はげ（む）
克,か（つ）
克,よ（く）
択,えら（ぶ）
択,よ（る）
泌,にじ（む）
奉,たてまつ（る）
奉,うけたまわ（る）
奉,まつ（る）
欧,は（く）
抽,ぬ（く）
抽,ひ（く）
昇,のぼ（る）
拘,こだわ（る）
阻,はば（む）
炊,た（く）
炊,かし（ぐ）
免,う（む）
免,ゆる（す）
侍,さぶら（う）
侍,はべ（る）
殴,なぐ（る）
殴,う（つ）
殴,たた（く）
施,ほどこ（す）
施,し（く）
孤,そむ（く）
削,けず（る）
削,そ（ぐ）
削,はつ（る）
恨,うら（む）
赴,おもむ（く）
怠,おこた（る）
促,うなが（す）
促,せま（る）
卸,おろ（す）
胎,はら（む）
冠,かむ（る）
契,ちぎ（る）
契,きざ（む）
訂,ただ（す）
隻,ひと（つ）
匿,かくま（う）
凍,こお（る）
疾,と（く）
疾,にく（む）
疾,や（む）
託,かこ（つ）
畜,か（う）
畜,やしな（う）
紛,まが（う）
悟,さと（る）
脅,おど（す）
畔,そむ（く）
倣,なら（う）
悦,よろこ（ぶ）
陵,しの（ぐ）
酔,よ（う）
控,のぞ（く）
貫,つらぬ（く）
貫,ぬ（く）
貫,ひ（く）
措,お（く）
掃,は（く）
掃,はら（う）
逮,およ（ぶ）
猟,か（る）
赦,ゆる（す）
陪,したが（う）
崩,くず（す）
粘,ねば（る）
彫,ほ（る）
啓,ひら（く）
啓,もう（す）
募,つの（る）
葬,ほうむ（る）
揺,ゆ（る）
裂,さ（く）
超,こ（す）
喫,く（う）
喫,す（う）
喫,の（む）
焦,あせ（る）
焦,や（く）
欺,あざむ（く）
湿,しめ（す）
湿,しめ（る）
湿,うるお（す）
喚,さけ（ぶ）
喚,よ（ぶ）
喚,わめ（く）
掌,つかさど（る）
随,したが（う）
絞,しぼ（る）
絞,くび（る）
遇,あ（う）
遇,もてな（す）
詠,よ（む）
詠,うた（う）
雇,やと（う）
塗,ぬ（る）
塗,まぶ（す）
催,もよお（す）
催,うなが（す）
搾,しぼ（る）
嫁,とつ（ぐ）
滞,とどこお（る）
摂,と（る）
零,ふ（る）
滑,すべ（る）
滑,ぬめ（る）
慨,いきどお（る）
慨,なげ（く）
漂,ただよ（う）
漂,さら（す）
誘,さそ（う）
誘,いざな（う）
誘,おび（く）
慕,した（う）
慕,しの（ぶ）
憎,にく（む）
遭,あ（う）
奪,うば（う）
漏,も（る）
慰,なぐさ（む）
緊,ちぢ（む）
緩,ゆる（む）
閲,へ（る）
暫,しばら（く）
潤,うるお（う）
潤,うるお（す）
潤,うる（む）
遵,したが（う）
締,むす（ぶ）
衝,つ（く）
鋳,い（る）
嘱,たの（む）
撮,と（る）
撮,つま（む）
潜,ひそ（む）
潜,もぐ（る）
潜,くぐ（る）
請,こ（う）
諾,うべな（う）
擁,いだ（く）
擁,だ（く）
擁,まも（る）
諮,はか（る）
諮,と（う）
錬,ね（る）
墾,ひら（く）
縛,しば（る）
凝,こ（る）
凝,こご（る）
賢,まさ（る）
憩,いこ（う）
縫,ぬ（う）
錯,あやま（る）
錯,お（く）
謀,はか（る）
聴,き（く）
聴,ゆる（す）
擦,す（る）
擦,こす（る）
擦,さす（る）
擦,なす（る）
繕,つくろ（う）
覆,おお（う）
覆,くつがえ（す）
覆,くつがえ（る）
騎,の（る）
翻,ひるがえ（す）
翻,ひるがえ（る）
穫,か（る）
譲,ゆず（る）
籍,し（く）
籍,ふ（む）
刃,き（る）
弔,とむら（う）
屯,なや（む）
升,のぼ（る）
凸,つばく（む）
凹,くぼ（む）
凹,へこ（む）
且,か（つ）
且,しばら（く）
充,み（つ）
忍,しの（ぶ）
肖,あやか（る）
肖,かたど（る）
肖,に（る）
亜,つ（ぐ）
抄,うつ（す）
抄,かすめ（る）
抄,す（く）
抄,すく（う）
妊,はら（む）
妊,みごも（る）
把,と（る）
把,にぎ（る）
吟,うた（う）
吟,うめ（く）
戻,もど（す）
戻,もど（る）
戻,いた（る）
戻,もと（る）
呈,しめ（す）
披,ひら（く）
肯,うなず（く）
肯,うべな（う）
併,なら（ぶ）
侮,あなど（る）
沸,わ（く）
附,つ（く）
拒,こば（む）
拒,ふせ（ぐ）
泥,なず（む）
析,さ（く）
奔,はし（る）
劾,あば（く）
拐,かた（る）
拐,かどわか（す）
尚,たっと（ぶ）
尚,とうと（ぶ）
抹,け（す）
抹,す（る）
砕,くだ（く）
拷,う（つ）
挑,いど（む）
甚,いた（く）
洞,つらぬ（く）
臭,にお（う）
窃,ぬす（む）
糾,あざな（う）
糾,ただ（す）
括,くく（る）
括,くび（る）
挟,はさ（む）
挟,さしはさ（む）
姻,とつ（ぐ）
准,ゆる（す）
陥,おちい（る）
耗,へ（る）
殉,したが（う）
娠,はら（む）
娠,みごも（る）
泰,おご（る）
捜,さが（す）
逐,お（う）
索,さが（す）
逝,い（く）
逝,ゆ（く）
挿,さ（す）
挿,さしはさ（む）
挿,はさ（む）
紡,つむ（ぐ）
酌,く（む）
剖,さ（く）
宰,つかさど（る）
恭,つつし（む）
唆,そそのか（す）
貢,みつ（ぐ）
涼,すず（む）
培,つちか（う）
崇,たっと（ぶ）
崇,とうと（ぶ）
偵,うかが（う）
偏,かたよ（る）
患,わずら（う）
旋,めぐ（る）
釣,つ（る）
累,しば（る）
斎,いつ（く）
斎,つつし（む）
逸,うしな（う）
逸,はし（る）
逸,はや（る）
庶,こいねが（う）
悼,いた（む）
渋,しぶ（る）
剰,あま（す）
剰,あま（る）
渉,わた（る）
粛,つつし（む）
偽,いつわ（る）
渇,かわ（く）
渇,むさぼ（る）
喝,おど（す）
喝,しか（る）
堕,こぼ（つ）
惰,おこた（る）
搭,の（る）
遍,あまね（く）
堪,たま（る）
廃,すた（る）
診,み（る）
款,しる（す）
款,たた（く）
款,よろこ（ぶ）
閑,なら（う）
循,したが（う）
循,めぐ（る）
暁,さと（る）
詐,あざむ（く）
詐,いつわ（る）
粧,めか（す）
粧,よそお（う）
疎,うと（む）
疎,とお（す）
疎,とお（る）
喪,うしな（う）
睡,ねむ（る）
嗣,つ（ぐ）
嫌,きら（う）
嫌,うたが（う）
煩,わずら（う）
頒,し（く）
献,たてまつ（る）
献,まつ（る）
督,うなが（す）
督,ただ（す）
督,み（る）
賄,まかな（う）
賄,まいな（う）
禅,ゆず（る）
践,ふ（む）
寛,くつろ（ぐ）
銘,しる（す）
彰,あらわ（す）
誓,ちか（う）
漸,すす（む）
漸,ようや（く）
遮,さえぎ（る）
徹,とお（る）
摩,こす（る）
摩,さす（る）
摩,す（る）
撲,う（つ）
撲,なぐ（る）
撲,は（る）
履,は（く）
履,ふ（む）
遷,うつ（す）
遷,うつ（る）
稼,かせ（ぐ）
賓,したが（う）
憤,いきどお（る）
憤,むずか（る）
罷,まか（る）
慶,よろこ（ぶ）
賜,たまわ（る）
賜,たま（う）
賠,つぐな（う）
懐,なつ（く）
懐,いだ（く）
懐,おも（う）
衡,はか（る）
還,かえ（す）
還,かえ（る）
磨,みが（く）
磨,す（る）
磨,と（ぐ）
薫,かお（る）
薫,た（く）
融,とお（る）
憾,うら（む）
諭,さと（す）
薦,し（く）
嚇,いか（る）
嚇,おど（す）
購,あがな（う）
頻,しき（る）
濯,あら（う）
濯,すす（ぐ）
醜,にく（む）
矯,いつわ（る）
謹,つつし（む）
擬,はか（る）
謙,へりくだ（る）
謄,うつ（す）
償,つぐな（う）
顕,あらわ（す）
譜,しる（す）
譜,つづ（く）
醸,かも（す）
騰,のぼ（る）
乞,こ（う）
匂,にお（う）
𠮟,しか（る）
叱,しか（る）
弄,もてあそ（ぶ）
弄,あなど（る）
弄,いじく（る）
弄,いじ（る）
弄,いら（う）
弄,まさぐ（る）
串,つらぬ（く）
汰,おご（る）
汰,にご（る）
沃,そそ（ぐ）
冶,い（る）
妬,ねた（む）
妬,そね（む）
妬,や（く）
狙,ねら（う）
