漢字,訓読み
比,"くら（べる）,なら（ぶ）"
支,"ささ（える）,か（う）,つか（える）"
永,なが（い）
弁,"かた（る）,と（く）,わきま（える）,わ（ける）"
圧,"お（さえる）,お（す）,へ（す）"
句,"あ（たる）,ま（がる）"
布,し（く）
示,しめ（す）
刊,"きざ（む）,けず（る）"
史,
犯,おか（す）
可,"べ（し）,よ（い）"
旧,"ふ（る）,ふる（い）,ふる（びる）"
任,"まか（す）,まか（せる）"
因,"よ（る）,ちな（む）,よ（って）"
仮,か（す）
再,ふたた（び）
団,まる（い）
件,
在,"あ（る）,いま（す）,ましま（す）"
災,わざわ（い）
状,
快,こころよ（い）
判,"わか（る）,わ（ける）"
条,
序,つい（で）
志,"こころざ（す）,しる（す）"
余,"あま（す）,あま（る）"
似,"に（る）,ごと（し）"
均,"ととの（える）,なら（す）,ひと（しい）"
技,
囲,"かこ（う）,かこ（む）"
防,"ふせ（ぐ）,まも（る）"
告,つ（げる）
応,"こた（える）,まさ（に）"
舎,"お（く）,やど（る）"
居,"い（る）,お（く）,お（る）"
枝,
述,の（べる）
制,おさ（える）
効,"き（く）,いた（す）,なら（う）"
性,
妻,めあ（わす）
招,まね（く）
毒,"そこ（なう）,わる（い）"
武,たけ（し）
往,ゆ（く）
河,
易,"やさ（しい）,あなど（る）,か（える）,か（わる）,やす（い）"
肥,"こ（える）,こ（やし）,こ（やす）,ふと（る）"
非,"あら（ず）,そし（る）,わる（い）"
版,
価,
限,"かぎ（る）,かぎ（り）"
故,"ことさら（に）,ふる（い）"
政,
厚,あつ（い）
査,しら（べる）
型,
紀,"おさ（める）,しる（す）"
迷,"まよ（う）,まど（う）"
独,ひと（り）
祖,はじ（め）
逆,"さか（らう）,あらかじ（め）,むか（える）"
則,"すなわ（ち）,のっと（る）"
保,"たも（つ）,も（つ）,やす（んじる）"
航,わた（る）
殺,"ころ（す）,あや（める）,けず（る）,そ（ぐ）,そ（げる）"
素,"しろ（い）,もと（より）"
修,"おさ（まる）,おさ（める）,かざ（る）,なが（い）"
粉,
桜,
脈,
能,"あた（う）,はたら（き）,よ（く）,よ（くする）"
耕,たがや（す）
財,
